taxa,kingdom,phylum,class,order,family,genus,species,common_name,identification_notes,data_resource_name,sighting_date,latitude,longitude,location
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Fulica,atra,"Eurasian Coot, Coot",,Participate,2014-11-14,-37.7825,144.9414,"-37.7825, 144.9414"
Bird,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,livia,"Rock Dove, Feral Pigeon",,Participate,2014-11-14,-37.8033,144.9134,"-37.8033, 144.9134"
Bird,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,livia,"Rock Dove, Feral Pigeon",,Hand written expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Bird,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,livia,"Rock Dove, Feral Pigeon",,Hand written citizen expert,2014-11-14,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Lichenostomus,penicillatus,White Plumed Honeyeater,,Hand written citizen expert,2014-11-14,-37.8311,144.9105,"-37.8311, 144.9105"
Insect,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CANTHARIDAE,Chauliognathus,lugubris,"Plague Soldier Beetle, Green Soldier Beetle",,Instagram,,-37.813,144.9805,"-37.813, 144.9805"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PIERIDAE,Pieris,rapae,Cabbage White Butterfly,,Participate,,-37.8033,144.9126,"-37.8033, 144.9126"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Vanessa,kershawi,Australian Painted Lady,,Participate,,-37.8293,144.9759,"-37.8293, 144.9759"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ASPARAGACEAE,Yucca,filamentosa,Adam's Needle,,Hand written via expert,2014-11-14,-37.7911,144.924,"-37.7911, 144.924"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,POALES,POACEAE,Lolium,rigidum,Annual Ryegrass,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASTERALES,ASTERACEAE,Bartlettina,sordida,Blue Mist Flower,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,FABALES,FABACEAE,Medicago,polymorpha,Bur Clover,,Participate,2014-11-08,-37.7917,144.9631,"-37.7917, 144.9631"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,APIALES,ARALIACEAE,Hedera,helix,English Ivy,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,CARYOPHYLLALES,CHENOPODIACEAE,Rhagodia,parabolica,Fragrant Saltbush,,Hand written expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,GENTIANALES,RUBIACEAE,Luculia,gratissima,Luculia,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,GENTIANALES,RUBIACEAE,Coprosma,repens,Mirror Bush,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,MYRTALES,MYRTACEAE,Callistemon,sieberi,River Bottlebrush,,Twitter,2014-11-14,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,CARYOPHYLLALES,PLUMBAGINACEAE,Limonium,perezii,Sea Lavender,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,MALPIGHIALES,VIOLACEAE,Hymenanthera,dentata,Tree Violet,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASTERALES,ASTERACEAE,Microseris,lanceolata,Yam Daisy,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MALURIDAE,Malurus,cyaneus,Superb Fairy-wren,,Participate,2014-11-02,-37.8413,144.9011,"-37.8413, 144.9011"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Sturnus,tristis,"Common Myna, Indian Myna",Also known as Acridotheres tristis,Hand written via expert,2014-11-15,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Ardea,modesta,Eastern Great Egret,,Participate,2014-11-15,-37.7823,144.9441,"-37.7823, 144.9441"
Bird,ANIMALIA,CHORDATA,AVES,CICONIIFORMES,ARDEIDAE,Ardea,modesta,Eastern Great Egret,,Participate,2014-11-14,-37.8021,144.9135,"-37.8021, 144.9135"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Fulica,atra,"Eurasian Coot, Coot",,Twitter,2014-11-17,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Fulica,atra,"Eurasian Coot, Coot",,Hand written via expert,2014-11-15,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,ANIMALIA,CHORDATA,AVES,NEORNITHES,SULIFORMES,Phalacrocorax,carbo,Great Cormorant,,Participate,2014-11-15,-37.787,144.9172,"-37.787, 144.9172"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Aythya,australis,"Hardhead, White-eyed Duck",,Hand written expert,2014-11-15,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PHALACROCORACIDAE,Microcarbo,melanoleucos,Little Pied Cormorant,,Hand written citizen expert,2014-11-15,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,chrysoptera,Little Wattlebird,,Participate,2014-11-14,-37.8018,144.9144,"-37.8018, 144.9144"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,Magpie-lark,,Participate,2014-11-05,-37.8293,144.9759,"-37.8293, 144.9759"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MONARCHIDAE,Grallina,cyanoleuca,Magpie-lark,,Hand written citizen expert,2014-11-08,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Phylidonyris,novaehollandiae,New Holland Honeyeater,,Participate,2014-11-02,-37.8413,144.9011,"-37.8413, 144.9011"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Participate,2014-11-14,-37.7944,144.9358,"-37.7944, 144.9358"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,superciliosa,"Pacific Black Duck, Black Duck",,Hand written citizen expert,2014-11-14,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Porphyrio,porphyrio,Purple Swamphen,,Twitter,2014-11-14,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Trichoglossus,haematodus,Rainbow Lorikeet,,Instagram,2014-11-05,-37.8024,144.9628,"-37.8024, 144.9628"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,carunculata,Red Wattlebird,,Hand written citizen expert,2014-11-14,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,LARIDAE,Chroicocephalus,novaehollandiae,Silver Gull,,Hand written citizen expert,2014-11-06,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Streptopelia,chinensis,Spotted Dove,,Hand written citizen expert,2014-11-14,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PARDALOTIDAE,Pardalotus,punctatus,Spotted Pardalote,,Hand written via expert,2014-11-15,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,HIRUNDINIDAE,Hirundo,neoxena,Welcome Swallow,,Hand written citizen expert,2014-11-15,-37.8311,144.9105,"-37.8311, 144.9105"
Insect,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,LYCAENIDAE,Zizina,otis,"Common Grass Blue, Grass Blue",Subspecies Zizina otis labradus,Participate,,-37.8293,144.9759,"-37.8293, 144.9759"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,POALES,POACEAE,Poa,annua,Annual Meadow Grass,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASTERALES,CAMPANULACEAE,Wahlenbergia,stricta,"Australian Bluebell, Tall Bluebell",,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ARECALES,ARECACEAE,Livistona,australis,Australian Cabbage Palm,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,LAMIALES,ACANTHACEAE,Acanthus,mollis,"Bear's Breeches, Oyster Plant",,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ZINGIBERALES,STRELITZIACEAE,Strelitzia,reginae,Bird of Paradise,,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,POALES,POACEAE,Festuca,glauca,Blue Fescue,,Twitter,2014-11-14,-37.8061,144.9651,"-37.8061, 144.9651"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASTERALES,ASTERACEAE,Arctotheca,calendula,Capeweed,,Participate,2014-10-31,-37.813,144.9802,"-37.813, 144.9802"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,POALES,POACEAE,Nassella,neesiana,Chilean Needle Grass,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,ASPARAGALES,ASPARAGACEAE,Arthropodium,strictum,Chocolate Lily,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,CARYOPHYLLALES,AIZOACEAE,Galenia,pubescens,Coastal Galenia,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,CARYOPHYLLALES,AMARANTHACEAE,Atriplex,cinerea,Coastal Saltbush,,Hand written expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,FABALES,FABACEAE,Acacia,pycnantha,Golden Wattle,,Hand written via expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,MYRTALES,MYRTACEAE,Eucalyptus,serraensis,Grampians Gum,,Hand written expert,2014-11-15,-37.7919,144.9572,"-37.7919, 144.9572"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,BRASSICALES,BRASSICACEAE,Cardamine,hirsuta,Hairy bittercress,,Hand written via expert,2014-11-16,-37.813,144.9805,"-37.813, 144.9805"
Plant,PLANTAE,CHAROPHYTA,EQUISETOPSIDA,DIPSACALES,CAPRIFOLIACEAE,Weigela,florida,Weigela,Variegata,Hand written via expert,2014-11-14,-37.813,144.9805,"-37.813, 144.9805"
Bird,ANIMALIA,CHORDATA,AVES,ANSERIFORMES,ANATIDAE,Anas,castanea,Chestnut Teal,,Participate,2014-11-14,-37.8021,144.9135,"-37.8021, 144.9135"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,merula,Common Blackbird,,Participate,2014-10-31,-37.813,144.9802,"-37.813, 144.9802"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Sturnus,tristis,"Common Myna, Indian Myna",Also known as Acridotheres tristis,Participate,2014-11-06,-37.7883,144.9087,"-37.7883, 144.9087"
Bird,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,CACATUIDAE,Eolophus,roseicapillus,Galah,,Hand written via expert,2014-11-15,-37.7833,144.9441,"-37.7833, 144.9441"
Bird,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PHALACROCORACIDAE,Microcarbo,melanoleucos,Little Pied Cormorant,,Participate,2014-11-15,-37.787,144.9168,"-37.787, 144.9168"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,chrysoptera,Little Wattlebird,,Hand written citizen expert,2014-11-15,-37.8311,144.9105,"-37.8311, 144.9105"
Bird,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELIPHAGIDAE,Anthochaera,chrysoptera,Little Wattlebird,,Hand written citizen expert,2014-11-14,-37.8311,144.9105,"-37.8311, 144.9105"
